,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y_pred[0],1.94,0.07,1.81,2.07,0.0,0.0,4443.33,4012.82,1.0
y_pred[1],1.93,0.06,1.8,2.05,0.0,0.0,4169.56,3964.55,1.0
y_pred[2],1.92,0.06,1.8,2.05,0.0,0.0,4273.91,4099.43,1.0
y_pred[3],1.91,0.06,1.78,2.03,0.0,0.0,4318.72,3968.39,1.0
y_pred[4],1.9,0.06,1.78,2.02,0.0,0.0,4038.26,3890.48,1.0
y_pred[5],1.89,0.06,1.78,2.02,0.0,0.0,4122.69,4056.42,1.0
y_pred[6],1.89,0.06,1.77,2.02,0.0,0.0,4026.01,3798.03,1.0
y_pred[7],1.88,0.06,1.77,2.01,0.0,0.0,4109.17,3638.88,1.0
y_pred[8],1.88,0.06,1.76,2.01,0.0,0.0,3882.9,3809.39,1.0
y_pred[9],1.88,0.06,1.75,2.0,0.0,0.0,3996.57,3613.37,1.0
y_pred[10],1.87,0.06,1.76,2.0,0.0,0.0,4251.56,3999.61,1.0
y_pred[11],1.88,0.06,1.75,1.99,0.0,0.0,3821.24,3901.74,1.0
y_pred[12],1.87,0.06,1.75,1.99,0.0,0.0,4154.02,3476.12,1.0
y_pred[13],1.87,0.06,1.76,2.01,0.0,0.0,3944.54,4086.81,1.0
y_pred[14],1.87,0.06,1.74,1.99,0.0,0.0,3944.72,3890.72,1.0
y_pred[15],1.87,0.06,1.75,2.0,0.0,0.0,3707.27,3613.59,1.0
y_pred[16],1.87,0.06,1.76,2.0,0.0,0.0,4026.68,3611.22,1.0
y_pred[17],1.87,0.06,1.75,1.99,0.0,0.0,3432.0,3716.55,1.0
y_pred[18],1.87,0.06,1.75,1.99,0.0,0.0,3977.96,3848.63,1.0
y_pred[19],1.87,0.06,1.75,1.99,0.0,0.0,3828.14,3677.51,1.0
y_pred[20],1.87,0.06,1.74,1.99,0.0,0.0,4093.09,3968.82,1.0
y_pred[21],1.87,0.06,1.75,1.99,0.0,0.0,4187.51,3930.06,1.0
y_pred[22],1.87,0.06,1.74,1.99,0.0,0.0,4123.3,3997.52,1.0
y_pred[23],1.86,0.06,1.73,1.98,0.0,0.0,3610.63,3810.34,1.0
y_pred[24],1.86,0.06,1.73,1.98,0.0,0.0,4125.6,3748.31,1.0
y_pred[25],1.86,0.06,1.73,1.97,0.0,0.0,4270.4,3930.0,1.0
y_pred[26],1.85,0.06,1.73,1.98,0.0,0.0,4232.63,4058.46,1.0
y_pred[27],1.85,0.06,1.73,1.97,0.0,0.0,3998.53,3973.74,1.0
y_pred[28],1.85,0.06,1.74,1.98,0.0,0.0,4067.74,4036.1,1.0
y_pred[29],1.84,0.06,1.71,1.95,0.0,0.0,3843.3,3743.95,1.0
y_pred[30],1.84,0.06,1.72,1.96,0.0,0.0,3877.02,3622.88,1.0
y_pred[31],1.83,0.06,1.71,1.96,0.0,0.0,4111.51,3781.86,1.0
y_pred[32],1.83,0.06,1.7,1.95,0.0,0.0,4331.38,3998.81,1.0
y_pred[33],1.83,0.06,1.71,1.95,0.0,0.0,4209.4,3805.84,1.0
y_pred[34],1.82,0.06,1.7,1.95,0.0,0.0,3934.1,3774.27,1.0
y_pred[35],1.82,0.06,1.69,1.94,0.0,0.0,3920.63,3923.75,1.0
y_pred[36],1.81,0.06,1.69,1.93,0.0,0.0,4239.33,3567.44,1.0
y_pred[37],1.81,0.06,1.68,1.93,0.0,0.0,4190.13,4093.54,1.0
y_pred[38],1.8,0.06,1.68,1.92,0.0,0.0,4100.87,4003.03,1.0
